"Entrez id",SysID,"Chromosome location","Gene type","Gene symbol","Gene group","Gene description","Gene synonyms","Omim id","Ensembl id","Hprd id","Hgnc id",hPSD
56997,SysID_0006,1q42.13,protein-coding,ADCK3,"ID data freeze 388","aarF domain containing kinase 3","ARCA2, CABC1, COQ10D4, COQ8, SCAR9, COQ8A",606980,ENSG00000163050,07375,16812,0
158,SysID_0007,22q13.2,protein-coding,ADSL,"ID data freeze 388, Autism candidate genes","adenylosuccinate lyase","AMPS, ASASE, ASL",608222,ENSG00000239900,00049,291,0
2334,SysID_0008,Xq28,protein-coding,AFF2,"ID data freeze 388","AF4/FMR2 family, member 2","FMR2, FMR2P, FRAXE, MRX2, OX19",300806,ENSG00000155966,02397,3776,0
175,SysID_0009,4q34.3,protein-coding,AGA,"ID data freeze 388",aspartylglucosaminidase,"AGU, ASRG, GA",613228,ENSG00000038002,01949,318,0
10555,SysID_0010,9q34.3,protein-coding,AGPAT2,"ID data freeze 388","1-acylglycerol-3-phosphate O-acyltransferase 2","1-AGPAT2, BSCL, BSCL1, LPAAB, LPAAT-beta",603100,ENSG00000169692,04373,325,0
191,SysID_0012,20q11.22,protein-coding,AHCY,"ID data freeze 388",adenosylhomocysteinase,"SAHH, adoHcyase",180960,ENSG00000101444,01621,343,1
54806,SysID_0013,6q23.3,protein-coding,AHI1,"ID data freeze 388, Autism candidate genes","Abelson helper integration site 1","AHI-1, JBTS3, ORF1, dJ71N10.1",608894,ENSG00000135541,10597,21575,0
9131,SysID_0471,Xq26.1,protein-coding,AIFM1,"ID data freeze 650","apoptosis-inducing factor, mitochondrion-associated, 1","AIF, CMT2D, CMTX4, COWCK, COXPD6, NADMR, NAMSD, PDCD8",310490,ENSG00000156709,02161,8768,0
9255,SysID_0416,4q24,protein-coding,AIMP1,"ID data freeze 650","aminoacyl tRNA synthetase complex-interacting multifunctional protein 1","EMAP2, EMAPII, HLD3, SCYE1, p43",603605,ENSG00000164022,04676,10648,0
203,SysID_0014,9q34.1,protein-coding,AK1,"ID data freeze 388","adenylate kinase 1",HTL-S-58j,103000,ENSG00000106992,00046,361,1
10000,SysID_0472,1q44,protein-coding,AKT3,"ID data freeze 650","v-akt murine thymoma viral oncogene homolog 3","MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2",611223,ENSG00000117020,06441,393,0
5832,SysID_0015,10q24.3,protein-coding,ALDH18A1,"ID data freeze 388","aldehyde dehydrogenase 18 family, member A1","ARCL3A, GSAS, P5CS, PYCS",138250,ENSG00000059573,00696,9722,0
224,SysID_0016,17p11.2,protein-coding,ALDH3A2,"ID data freeze 388","aldehyde dehydrogenase 3 family, member A2","ALDH10, FALDH, SLS",609523,ENSG00000072210,07188,403,1
7915,SysID_0017,6p22,protein-coding,ALDH5A1,"ID data freeze 388, Autism candidate genes","aldehyde dehydrogenase 5 family, member A1","SSADH, SSDH",610045,ENSG00000112294,08361,408,1
56052,SysID_0018,16p13.3,protein-coding,ALG1,"ID data freeze 388","ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase","CDG1K, HMAT1, HMT-1, HMT1, MT-1, Mat-1, hMat-1",605907,ENSG00000033011,10437,18294,0
79087,SysID_0019,22q13.33,protein-coding,ALG12,"ID data freeze 388","ALG12, alpha-1,6-mannosyltransferase","CDG1G, ECM39, PP14673, hALG12",607144,ENSG00000182858,06189,19358,0
85365,SysID_0020,9q22.33,protein-coding,ALG2,"ID data freeze 388","ALG2, alpha-1,3/1,6-mannosyltransferase","CDGIi, CMS14, CMSTA3, NET38, hALPG2",607905,ENSG00000119523,09716,23159,0
10195,SysID_0021,3q27.1,protein-coding,ALG3,"ID data freeze 388","ALG3, alpha-1,3- mannosyltransferase","CDG1D, CDGS4, CDGS6, D16Ertd36e, NOT56L, Not56, not",608750,ENSG00000214160,03067,23056,0
29929,SysID_0022,1p31.3,protein-coding,ALG6,"ID data freeze 388","ALG6, alpha-1,3-glucosyltransferase",CDG1C,604566,ENSG00000088035,05194,23157,0
79796,SysID_0023,11q23,protein-coding,ALG9,"ID data freeze 388","ALG9, alpha-1,2-mannosyltransferase","CDG1L, DIBD1, LOH11CR1J",606941,ENSG00000086848,09504,15672,0
275,SysID_0024,3p21.31,protein-coding,AMT,"ID data freeze 388",aminomethyltransferase,"GCE, GCST, GCVT, NKH",238310,ENSG00000145020,01997,473,0
56172,SysID_0441,5p15.1,protein-coding,ANKH,"ID data freeze 650","ANKH inorganic pyrophosphate transport regulator","ANK, CCAL2, CMDJ, CPPDD, HANK, MANK",605145,ENSG00000154122,05509,15492,0
29123,SysID_0427,16q24.3,protein-coding,ANKRD11,"ID data freeze 650, Autism candidate genes","ankyrin repeat domain 11","ANCO-1, ANCO1, LZ16, T13",611192,ENSG00000167522,12456,21316,0
55129,SysID_0025,3p22.1,protein-coding,ANO10,"ID data freeze 388","anoctamin 10","SCAR10, TMEM16K",613726,ENSG00000160746,07667,25519,0
1174,SysID_0026,7q22.1,protein-coding,AP1S1,"ID data freeze 388","adaptor-related protein complex 1, sigma 1 subunit","AP19, CLAPS1, EKV3, MEDNIK, SIGMA1A",603531,ENSG00000106367,04635,559,1
8905,SysID_0027,Xp22.2,protein-coding,AP1S2,"ID data freeze 388","adaptor-related protein complex 1, sigma 2 subunit","DC22, MRX59, MRXS21, MRXS5, MRXSF, PGS, SIGMA1B",300629,ENSG00000182287,04636,560,0
8546,SysID_0028,5q14.1,protein-coding,AP3B1,"ID data freeze 388","adaptor-related protein complex 3, beta 1 subunit","ADTB3, ADTB3A, HPS, HPS2, PE",603401,ENSG00000132842,04551,566,1
10717,SysID_0410,1p13.2,protein-coding,AP4B1,"ID data freeze 650","adaptor-related protein complex 4, beta 1 subunit","BETA-4, CPSQ5, SPG47",607245,ENSG00000134262,06259,572,0
23431,SysID_0411,15q21.2,protein-coding,AP4E1,"ID data freeze 650","adaptor-related protein complex 4, epsilon 1 subunit","CPSQ4, SPG51",607244,ENSG00000081014,06258,573,0
11154,SysID_0409,14q12,protein-coding,AP4S1,"ID data freeze 650","adaptor-related protein complex 4, sigma 1 subunit","AP47B, CLA20, CLAPS4, CPSQ6, SPG52",607243,ENSG00000100478,06257,575,0
54840,SysID_0029,9p13.3,protein-coding,APTX,"ID data freeze 388",aprataxin,"AOA, AOA1, AXA1, EAOH, EOAHA, FHA-HIT",606350,ENSG00000137074,05892,15984,0
10564,SysID_0030,20q13.13,protein-coding,ARFGEF2,"ID data freeze 388","ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)","BIG2, PVNH2, dJ1164I10.1",605371,ENSG00000124198,09250,15853,1
8289,SysID_0473,1p35.3,protein-coding,ARID1A,"ID data freeze 650","AT rich interactive domain 1A (SWI-like)","B120, BAF250, BAF250a, BM029, C1orf4, ELD, MRD14, OSA1, P270, SMARCF1, hELD, hOSA1",603024,ENSG00000117713,04319,11110,0
57492,SysID_0466,6q25.1,protein-coding,ARID1B,"ID data freeze 650, Autism candidate genes","AT rich interactive domain 1B (SWI1-like)","6A3-5, BAF250B, BRIGHT, DAN15, ELD/OSA1, MRD12, OSA2, P250R",614556,ENSG00000049618,10660,18040,0
200894,SysID_0032,3q11.1,protein-coding,ARL13B,"ID data freeze 388","ADP-ribosylation factor-like 13B","ARL2L1, JBTS8",608922,ENSG00000169379,12334,25419,0
84100,SysID_0033,3q11.2,protein-coding,ARL6,"ID data freeze 388","ADP-ribosylation factor-like 6","BBS3, RP55",608845,ENSG00000113966,10588,13210,0
170302,SysID_0034,Xp21.3,protein-coding,ARX,"ID data freeze 388, Autism candidate genes","aristaless related homeobox","CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS",300382,ENSG00000004848,02307,18060,0
435,SysID_0035,7q11.21,protein-coding,ASL,"ID data freeze 388","argininosuccinate lyase",ASAL,608310,ENSG00000126522,01948,746,0
443,SysID_0036,17p13.3,protein-coding,ASPA,"ID data freeze 388",aspartoacylase,"ACY2, ASP",608034,ENSG00000108381,02033,756,0
259266,SysID_0037,1q31,protein-coding,ASPM,"ID data freeze 388","asp (abnormal spindle) homolog, microcephaly associated (Drosophila)","ASP, Calmbp1, MCPH5",605481,ENSG00000066279,08384,19048,0
171023,SysID_0424,20q11,protein-coding,ASXL1,"ID data freeze 650","additional sex combs like transcriptional regulator 1","BOPS, MDS",612990,ENSG00000171456,16516,18318,0
477,SysID_0038,1q23.2,protein-coding,ATP1A2,"ID data freeze 388","ATPase, Na+/K+ transporting, alpha 2 polypeptide","FHM2, MHP2",182340,ENSG00000018625,01665,800,1
488,SysID_0039,12q24.11,protein-coding,ATP2A2,"ID data freeze 388","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2","ATP2B, DAR, DD, SERCA2",108740,ENSG00000174437,00161,812,1
10159,SysID_0040,Xp11.4,protein-coding,ATP6AP2,"ID data freeze 388","ATPase, H+ transporting, lysosomal accessory protein 2","APT6M8-9, ATP6IP2, ATP6M8-9, ELDF10, HT028, M8-9, MRXE, MRXSH, MSTP009, PRR, RENR, XMRE, XPDS",300556,ENSG00000182220,06454,18305,0
23545,SysID_0041,12q24.31,protein-coding,ATP6V0A2,"ID data freeze 388","ATPase, H+ transporting, lysosomal V0 subunit a2","A2, ARCL, ARCL2A, ATP6A2, ATP6N1D, J6B7, RTF, STV1, TJ6, TJ6M, TJ6S, VPH1, WSS",611716,ENSG00000185344,16521,18481,0
538,SysID_0042,Xq21.1,protein-coding,ATP7A,"ID data freeze 388","ATPase, Cu++ transporting, alpha polypeptide","DSMAX, MK, MNK, SMAX3",300011,ENSG00000165240,02054,869,0
545,SysID_0043,3q23,protein-coding,ATR,"ID data freeze 388","ATR serine/threonine kinase","FCTCS, FRP1, MEC1, SCKL, SCKL1",601215,ENSG00000175054,08369,882,0
546,SysID_0044,Xq21.1,protein-coding,ATRX,"ID data freeze 388","alpha thalassemia/mental retardation syndrome X-linked","ATR2, JMS, MRXHF1, RAD54, RAD54L, SFM1, SHS, XH2, XNP, ZNF-HX",300032,ENSG00000085224,02069,886,0
549,SysID_0045,9q22.31,protein-coding,AUH,"ID data freeze 388","AU RNA binding protein/enoyl-CoA hydratase",-,600529,ENSG00000148090,08987,890,1
26053,SysID_0474,7q11.22,protein-coding,AUTS2,"ID data freeze 650, Autism candidate genes","autism susceptibility candidate 2","FBRSL2, MRD26",607270,ENSG00000158321,06276,14262,0
145173,SysID_0046,13q12.3,protein-coding,B3GALTL,"ID data freeze 388","beta 1,3-galactosyltransferase-like","B3GLCT, B3GTL, B3Glc-T, Gal-T, beta3Glc-T",610308,ENSG00000187676,12513,20207,0
2683,SysID_0047,9p13,protein-coding,B4GALT1,"ID data freeze 388","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1","B4GAL-T1, CDG2D, GGTB2, GT1, GTB, beta4Gal-T1",137060,ENSG00000086062,00659,924,0
11285,SysID_0048,5q35.2-q35.3,protein-coding,B4GALT7,"ID data freeze 388","xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7","EDSP1, XGALT1, XGPT1",604327,ENSG00000027847,05060,930,0
582,SysID_0049,11q13,protein-coding,BBS1,"ID data freeze 388","Bardet-Biedl syndrome 1",BBS2L2,209901,ENSG00000256349,01950,966,0
79738,SysID_0050,12q21.2,protein-coding,BBS10,"ID data freeze 388","Bardet-Biedl syndrome 10",C12orf58,610148,ENSG00000179941,08036,26291,0
166379,SysID_0051,4q27,protein-coding,BBS12,"ID data freeze 388","Bardet-Biedl syndrome 12",C4orf24,610683,ENSG00000181004,08759,26648,0
583,SysID_0052,16q21,protein-coding,BBS2,"ID data freeze 388","Bardet-Biedl syndrome 2",BBS,606151,ENSG00000125124,05855,967,0
585,SysID_0053,15q22.3-q23,protein-coding,BBS4,"ID data freeze 388","Bardet-Biedl syndrome 4",-,600374,ENSG00000140463,08982,969,0
129880,SysID_0054,2q31.1,protein-coding,BBS5,"ID data freeze 388","Bardet-Biedl syndrome 5",-,603650,ENSG00000163093,10353,970,0
55212,SysID_0055,4q27,protein-coding,BBS7,"ID data freeze 388","Bardet-Biedl syndrome 7",BBS2L1,607590,ENSG00000138686,07399,18758,0
27241,SysID_0056,7p14,protein-coding,BBS9,"ID data freeze 388","Bardet-Biedl syndrome 9","B1, C18, D1, PTHB1",607968,ENSG00000122507,16262,30000,0
593,SysID_0057,19q13.1-q13.2,protein-coding,BCKDHA,"ID data freeze 388","branched chain keto acid dehydrogenase E1, alpha polypeptide","BCKDE1A, MSU, MSUD1, OVD1A",608348,ENSG00000248098,02009,986,0
594,SysID_0058,6q14.1,protein-coding,BCKDHB,"ID data freeze 388","branched chain keto acid dehydrogenase E1, beta polypeptide","E1B, dJ279A18.1",248611,ENSG00000083123,02011,987,0
54880,SysID_0059,Xp11.4,protein-coding,BCOR,"ID data freeze 388","BCL6 corepressor","ANOP2, MAA2, MCOPS2",300485,ENSG00000183337,06458,20893,0
617,SysID_0060,2q33,protein-coding,BCS1L,"ID data freeze 388","BC1 (ubiquinol-cytochrome c reductase) synthesis-like","BCS, BCS1, BJS, FLNMS, GRACILE, Hs.6719, MC3DN1, PTD, h-BCS",603647,ENSG00000074582,04708,1020,0
641,SysID_0061,15q26.1,protein-coding,BLM,"ID data freeze 388","Bloom syndrome, RecQ helicase-like","BS, RECQ2, RECQL2, RECQL3",604610,ENSG00000197299,05211,1058,0
673,SysID_0063,7q34,protein-coding,BRAF,"ID data freeze 388","B-Raf proto-oncogene, serine/threonine kinase","B-RAF1, BRAF1, NS7, RAFB1",164757,ENSG00000157764,01264,1097,0
254065,SysID_0064,Xq21.1,protein-coding,BRWD3,"ID data freeze 388","bromodomain and WD repeat domain containing 3","BRODL, MRX93",300553,ENSG00000165288,06564,17342,0
26580,SysID_0065,11q13,protein-coding,BSCL2,"ID data freeze 388","Berardinelli-Seip congenital lipodystrophy 2 (seipin)","GNG3LG, HMN5, PELD, SPG17",606158,ENSG00000168000,05858,15832,0
701,SysID_0066,15q15,protein-coding,BUB1B,"ID data freeze 388","BUB1 mitotic checkpoint serine/threonine kinase B","BUB1beta, BUBR1, Bub1A, MAD3L, MVA1, SSK1, hBUBR1",602860,ENSG00000156970,04176,1149,0
65250,SysID_0475,5p13.2,protein-coding,C5orf42,"ID data freeze 650","chromosome 5 open reading frame 42","JBTS17, OFD6, CPLANE1",614571,ENSG00000197603,07822,25801,0
760,SysID_0068,8q22,protein-coding,CA2,"ID data freeze 388","carbonic anhydrase II","CA-II, CAC, CAII, Car2, HEL-76",611492,ENSG00000104267,02023,1373,1
775,SysID_0069,12p13.3,protein-coding,CACNA1C,"ID data freeze 388, Autism candidate genes","calcium channel, voltage-dependent, L type, alpha 1C subunit","CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS",114205,ENSG00000151067,00246,1390,0
8573,SysID_0070,Xp11.4,protein-coding,CASK,"ID data freeze 388","calcium/calmodulin-dependent serine protein kinase (MAGUK family)","CAGH39, CAMGUK, CMG, FGS4, LIN2, MICPCH, MRXSNA, TNRC8",300172,ENSG00000147044,02164,1497,1
875,SysID_0071,21q22.3,protein-coding,CBS,"ID data freeze 388",cystathionine-beta-synthase,HIP4,613381,ENSG00000160200,01994,1550,0
54862,SysID_0072,19p13.12,protein-coding,CC2D1A,"ID data freeze 388, Autism candidate genes","coiled-coil and C2 domain containing 1A","FREUD-1, Freud-1/Aki1, MRT3",610055,ENSG00000132024,08616,30237,1
57545,SysID_0073,4p15.32,protein-coding,CC2D2A,"ID data freeze 388","coiled-coil and C2 domain containing 2A","JBTS9, MKS6",612013,ENSG00000048342,,29253,0
147372,SysID_0404,18q21.32,protein-coding,CCBE1,"ID data freeze 650","collagen and calcium binding EGF domains 1",HKLLS1,612753,ENSG00000183287,08703,29426,0
440193,SysID_0391,14q32.11,protein-coding,CCDC88C,"ID data freeze 650","coiled-coil domain containing 88C","DAPLE, HKRP2, KIAA1509, SCA40",611204,ENSG00000015133,,19967,0
55755,SysID_0074,9q33.2,protein-coding,CDK5RAP2,"ID data freeze 388","CDK5 regulatory subunit associated protein 2","C48, Cep215, MCPH3",608201,ENSG00000136861,09740,18672,0
6792,SysID_0075,Xp22,protein-coding,CDKL5,"ID data freeze 388, Autism candidate genes","cyclin-dependent kinase-like 5","EIEE2, ISSX, STK9",300203,ENSG00000008086,02190,11411,1
50937,SysID_0432,11q24.2,protein-coding,CDON,"ID data freeze 650","cell adhesion associated, oncogene regulated","CDO, CDON1, HPE11, ORCAM",608707,ENSG00000064309,16372,17104,0
55835,SysID_0076,13q12.12,protein-coding,CENPJ,"ID data freeze 388","centromere protein J","BM032, CENP-J, CPAP, LAP, LIP1, MCPH6, SASS4, SCKL4, Sas-4",609279,ENSG00000151849,09876,17272,0
9662,SysID_0477,4q12,protein-coding,CEP135,"ID data freeze 650","centrosomal protein 135kDa","CEP4, KIAA0635, MCPH8",611423,ENSG00000174799,11097,29086,0
22995,SysID_0421,15q21.1,protein-coding,CEP152,"ID data freeze 650","centrosomal protein 152kDa","MCPH4, MCPH9, SCKL5",613529,ENSG00000103995,16778,29298,0
80184,SysID_0077,12q21.32,protein-coding,CEP290,"ID data freeze 388","centrosomal protein 290kDa","3H11Ag, BBS14, CT87, JBTS5, LCA10, MKS4, NPHP6, POC3, SLSN6, rd16",610142,ENSG00000198707,10856,29021,0
95681,SysID_0461,7q32,protein-coding,CEP41,"ID data freeze 650, Autism candidate genes","centrosomal protein 41kDa","JBTS15, TSGA14",610523,ENSG00000106477,15574,12370,0
26047,SysID_0079,7q35,protein-coding,CNTNAP2,"ID data freeze 388, Autism candidate genes","contactin associated protein-like 2","AUTS15, CASPR2, CDFE, NRXN4, PTHSL1",604569,ENSG00000174469,05197,13830,1
9382,SysID_0080,17q25.1,protein-coding,COG1,"ID data freeze 388","component of oligomeric golgi complex 1","CDG2G, LDLB",606973,ENSG00000166685,07371,6545,0
91949,SysID_0081,16p12.2,protein-coding,COG7,"ID data freeze 388","component of oligomeric golgi complex 7",CDG2E,606978,ENSG00000168434,07373,18622,0
84342,SysID_0082,16q22.1,protein-coding,COG8,"ID data freeze 388","component of oligomeric golgi complex 8","CDG2H, DOR1",606979,ENSG00000213380,07374,18623,0
1282,SysID_0083,13q34,protein-coding,COL4A1,"ID data freeze 388","collagen, type IV, alpha 1","BSVD, RATOR",120130,ENSG00000187498,00359,2202,0
1284,SysID_0457,13q34,protein-coding,COL4A2,"ID data freeze 650","collagen, type IV, alpha 2","ICH, POREN2",120090,ENSG00000134871,00355,2203,0
78989,SysID_0420,2p25.3,protein-coding,COLEC11,"ID data freeze 650","collectin sub-family member 11","3MC2, CL-K1-I, CL-K1-II, CL-K1-IIa, CL-K1-IIb, CLK1",612502,ENSG00000118004,10847,17213,0
27235,SysID_0084,4q21.23,protein-coding,COQ2,"ID data freeze 388","coenzyme Q2 4-hydroxybenzoate polyprenyltransferase","CL640, COQ10D1, MSA1, PHB:PPT",609825,ENSG00000173085,13062,25223,0
1352,SysID_0085,17p12,protein-coding,COX10,"ID data freeze 388","COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor",-,602125,ENSG00000006695,03673,2260,0
1355,SysID_0086,10q24,protein-coding,COX15,"ID data freeze 388","cytochrome c oxidase assembly homolog 15 (yeast)",CEMCOX2,603646,ENSG00000014919,04707,2263,0
51185,SysID_0087,3p26.2,protein-coding,CRBN,"ID data freeze 388",cereblon,"MRT2, MRT2A",609262,ENSG00000113851,16750,30185,0
1387,SysID_0088,16p13.3,protein-coding,CREBBP,"ID data freeze 388","CREB binding protein","CBP, KAT3A, RSTS",600140,ENSG00000005339,02534,2348,0
9150,SysID_0089,18q23,protein-coding,CTDP1,"ID data freeze 388","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1","CCFDN, FCP1",604927,ENSG00000060069,05377,2498,0
1499,SysID_0478,3p21,protein-coding,CTNNB1,"ID data freeze 650, Autism candidate genes","catenin (cadherin-associated protein), beta 1, 88kDa","CTNNB, MRD19, armadillo",116806,ENSG00000168036,00286,2514,1
8450,SysID_0090,Xq23,protein-coding,CUL4B,"ID data freeze 388","cullin 4B","CUL-4B, MRXHF2, MRXS15, MRXSC, SFM2",300304,ENSG00000158290,02251,2555,0
1727,SysID_0091,22q13.2,protein-coding,CYB5R3,"ID data freeze 388","cytochrome b5 reductase 3","B5R, DIA1",613213,ENSG00000100243,08942,2873,0
728294,SysID_0092,2q37.3,protein-coding,D2HGDH,"ID data freeze 388","D-2-hydroxyglutarate dehydrogenase",D2HGD,609186,ENSG00000180902,14502,28358,0
55157,SysID_0093,1q25.1,protein-coding,DARS2,"ID data freeze 388","aspartyl-tRNA synthetase 2, mitochondrial","ASPRS, LBSL, MT-ASPRS",610956,ENSG00000117593,07677,25538,0
1629,SysID_0094,1p31,protein-coding,DBT,"ID data freeze 388","dihydrolipoamide branched chain transacylase E2","BCATE2, BCKAD-E2, BCKADE2, BCOADC-E2, E2, E2B",248610,ENSG00000137992,02010,2698,1
1641,SysID_0095,Xq22.3-q23,protein-coding,DCX,"ID data freeze 388",doublecortin,"DBCN, DC, LISX, SCLH, XLIS",300121,ENSG00000077279,02127,2714,1
23259,SysID_0479,8p11.23,protein-coding,DDHD2,"ID data freeze 650","DDHD domain containing 2","SAMWD1, SPG54, iPLA(1)gamma",615003,ENSG00000085788,16788,29106,0
10522,SysID_0480,11p15.5,protein-coding,DEAF1,"ID data freeze 650, Autism candidate genes","DEAF1 transcription factor","MRD24, NUDR, SPN, ZMYND5",602635,ENSG00000177030,04027,14677,0
1718,SysID_0096,1p32.3,protein-coding,DHCR24,"ID data freeze 388","24-dehydrocholesterol reductase","DCE, Nbla03646, SELADIN1, seladin-1",606418,ENSG00000116133,05916,2859,0
1717,SysID_0097,11q13.4,protein-coding,DHCR7,"ID data freeze 388, Autism candidate genes","7-dehydrocholesterol reductase",SLOS,602858,ENSG00000172893,04174,2860,0
1719,SysID_0440,5q14.1,protein-coding,DHFR,"ID data freeze 650","dihydrofolate reductase","DHFRP1, DYR",126060,ENSG00000228716,00519,2861,0
55526,SysID_0481,10p14,protein-coding,DHTKD1,"ID data freeze 650","dehydrogenase E1 and transketolase domain containing 1","AMOXAD, CMT2Q",614984,ENSG00000181192,09917,23537,0
57609,SysID_0098,12q13.12,protein-coding,DIP2B,"ID data freeze 388","DIP2 disco-interacting protein 2 homolog B (Drosophila)",-,611379,ENSG00000066084,11148,29284,1
1736,SysID_0099,Xq28,protein-coding,DKC1,"ID data freeze 388","dyskeratosis congenita 1, dyskerin","CBF5, DKC, DKCX, NAP57, NOLA4, XAP101",300126,ENSG00000130826,02129,2890,0
1738,SysID_0100,7q31-q32,protein-coding,DLD,"ID data freeze 388","dihydrolipoamide dehydrogenase","DLDD, DLDH, E3, GCSL, LAD, PHE3",238331,ENSG00000091140,02006,2898,1
1741,SysID_0101,Xq13.1,protein-coding,DLG3,"ID data freeze 388","discs, large homolog 3 (Drosophila)","MRX, MRX90, NEDLG, PPP1R82, SAP102, XLMR",300189,ENSG00000082458,02177,2902,1
1756,SysID_0102,Xp21.2,protein-coding,DMD,"ID data freeze 388, Autism candidate genes",dystrophin,"BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85",300377,ENSG00000198947,02303,2928,0
1760,SysID_0103,19q13.3,protein-coding,DMPK,"ID data freeze 388, Autism candidate genes","dystrophia myotonica-protein kinase","DM, DM1, DM1PK, DMK, MDPK, MT-PK",605377,ENSG00000104936,05645,2933,0
131118,SysID_0104,3q26.33,protein-coding,DNAJC19,"ID data freeze 388","DnaJ (Hsp40) homolog, subfamily C, member 19","PAM18, TIM14, TIMM14",608977,ENSG00000205981,12349,30528,1
1789,SysID_0105,20q11.2,protein-coding,DNMT3B,"ID data freeze 388","DNA (cytosine-5-)-methyltransferase 3 beta","ICF, ICF1, M.HsaIIIB",602900,ENSG00000088305,04209,2979,0
1798,SysID_0106,11q23.3,protein-coding,DPAGT1,"ID data freeze 388","dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)","ALG7, CDG-Ij, CDG1J, CMS13, CMSTA2, D11S366, DGPT, DPAGT, DPAGT2, G1PT, GPT, UAGT, UGAT",191350,ENSG00000172269,01879,2995,0
8813,SysID_0107,20q13.13,protein-coding,DPM1,"ID data freeze 388","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit","CDGIE, MPDS",603503,ENSG00000000419,04613,3005,1
1806,SysID_0108,1p22,protein-coding,DPYD,"ID data freeze 388","dihydropyrimidine dehydrogenase","DHP, DHPDHASE, DPD",612779,ENSG00000188641,02036,3012,0
54808,SysID_0109,18q21.1,protein-coding,DYM,"ID data freeze 388",dymeclin,"DMC, SMC",607461,ENSG00000141627,08469,21317,0
